complex1: P@ssw0rd!2024
  MD5: 1e1b2b0ec9fc5363623f17d811a2b46d
  SHA1: ff58a1ebbab69aa8538f408f7608ad29f8995cea
  SHA256: d8cf9c3dfab461572a618f0f0bb6cf513ed0c848d93ccaaf9bdfabfd63f49553

complex2: Tr0ub4dor&3
  MD5: 4ece57a61323b52ccffdbef021956754
  SHA1: 874572e7a5ae6a49466a6ac578b98adba78c6aa6
  SHA256: 48486e1514e842346ff405b1e45f44059ae82619f2306f99d0940dcb386e91f7

complex3: correct horse battery staple
  MD5: 9cc2ae8a1ba7a93da39b46fc1019c481
  SHA1: abf7aad6438836dbe526aa231abde2d0eef74d42
  SHA256: c4bbcb1fbec99d65bf59d85c8cb62ee2db963f0fe106f483d9afa73bd4e39a8a

complex4: Byt3Br3@k3r#1
  MD5: a0b8c263929774aa2be424cd0822b49c
  SHA1: a260f918cc3927bbfb81b82906885414ae35b69a
  SHA256: 82551fe6e917718d7eeee716c945c480ab88271d8039ee7ad3f81150d943e097

